CustomerKey,GeographyKey,CustomerAlternateKey,FirstName,LastName,FullName,Gender,DateFirstPurchase,City,State,Country
11053,359,AW00011053,Ana,Price,Ana Price,Female,2023-01-17,San Diego,California,United States
11054,34,AW00011054,Deanna,Munoz,Deanna Munoz,Female,2021-02-03,Geelong,Victoria,Australia
11055,22,AW00011055,Gilbert,Raje,Gilbert Raje,Male,2021-01-31,East Brisbane,Queensland,Australia
11056,10,AW00011056,Michele,Nath,Michele Nath,Female,2021-02-26,Newcastle,New South Wales,Australia
11057,5,AW00011057,Carl,Andersen,Carl Andersen,Male,2021-02-22,Lane Cove,New South Wales,Australia
11058,29,AW00011058,Marc,Diaz,Marc Diaz,Male,2021-03-09,Findon,South Australia,Australia
11059,27,AW00011059,Ashlee,Andersen,Ashlee Andersen,Female,2023-02-18,Townsville,Queensland,Australia
11060,40,AW00011060,Jon,Zhou,Jon Zhou,Male,2021-03-19,Warrnambool,Victoria,Australia
11061,23,AW00011061,Todd,Gao,Todd Gao,Male,2021-03-13,Gold Coast,Queensland,Australia
11062,547,AW00011062,Noah,Powell,Noah Powell,Male,2023-01-07,Portland,Oregon,United States
11063,634,AW00011063,Angela,Murphy,Angela Murphy,Female,2023-01-12,Redmond,Washington,United States
11064,315,AW00011064,Chase,Reed,Chase Reed,Male,2023-01-25,Downey,California,United States
11065,331,AW00011065,Jessica,Henderson,Jessica Henderson,Female,2023-02-10,La Jolla,California,United States
11066,543,AW00011066,Grace,Butler,Grace Butler,Female,2023-05-31,Lebanon,Oregon,United States
11067,632,AW00011067,Caleb,Carter,Caleb Carter,Male,2023-08-18,Port Orchard,Washington,United States
11068,40,AW00011068,Tiffany,Liang,Tiffany Liang,Female,2023-04-30,Warrnambool,Victoria,Australia
11069,23,AW00011069,Carolyn,Navarro,Carolyn Navarro,Female,2021-04-17,Gold Coast,Queensland,Australia
11070,39,AW00011070,Willie,Raji,Willie Raji,Male,2021-04-28,Sunbury,Victoria,Australia
11071,24,AW00011071,Linda,Serrano,Linda Serrano,Female,2023-03-01,Hawthorne,Queensland,Australia
11072,17,AW00011072,Casey,Luo,Casey Luo,Female,2021-03-31,St. Leonards,New South Wales,Australia
11073,16,AW00011073,Amy,Ye,Amy Ye,Female,2023-03-23,Springwood,New South Wales,Australia
11074,28,AW00011074,Levi,Arun,Levi Arun,Male,2023-03-23,Cloverdale,South Australia,Australia
11075,32,AW00011075,Felicia,Jimenez,Felicia Jimenez,Female,2021-04-28,Bendigo,Victoria,Australia
11076,19,AW00011076,Blake,Anderson,Blake Anderson,Male,2021-04-21,Wollongong,New South Wales,Australia
11077,36,AW00011077,Leah,Ye,Leah Ye,Female,2021-04-15,Melton,Victoria,Australia
11078,49,AW00011078,Gina,Martin,Gina Martin,Female,2023-02-15,Cliffside,British Columbia,Canada
11079,34,AW00011079,Donald,Gonzalez,Donald Gonzalez,Male,2023-03-15,Geelong,Victoria,Australia
11080,30,AW00011080,Damien,Chander,Damien Chander,Male,2021-04-10,Perth,South Australia,Australia
11081,311,AW00011081,Savannah,Baker,Savannah Baker,Female,2023-02-12,Concord,California,United States
11082,322,AW00011082,Angela,Butler,Angela Butler,Female,2023-01-22,Fremont,California,United States
11083,336,AW00011083,Alyssa,Cox,Alyssa Cox,Female,2023-01-06,Lincoln Acres,California,United States
11084,543,AW00011084,Lucas,Phillips,Lucas Phillips,Male,2023-01-04,Lebanon,Oregon,United States
11085,345,AW00011085,Emily,Johnson,Emily Johnson,Female,2023-12-06,Newport Beach,California,United States
11086,369,AW00011086,Ryan,Brown,Ryan Brown,Male,2023-07-02,Santa Monica,California,United States
11087,307,AW00011087,Tamara,Liang,Tamara Liang,Female,2023-02-25,Chula Vista,California,United States
11088,359,AW00011088,Hunter,Davis,Hunter Davis,Male,2023-01-13,San Diego,California,United States
11089,337,AW00011089,Abigail,Price,Abigail Price,Female,2022-12-29,Long Beach,California,United States
11090,338,AW00011090,Trevor,Bryant,Trevor Bryant,Male,2021-08-07,Los Angeles,California,United States
11091,50,AW00011091,Dalton,Perez,Dalton Perez,Male,2023-01-29,Haney,British Columbia,Canada
11092,22,AW00011092,Cheryl,Diaz,Cheryl Diaz,Female,2021-04-08,East Brisbane,Queensland,Australia
11093,19,AW00011093,Aimee,He,Aimee He,Female,2021-04-07,Wollongong,New South Wales,Australia
11094,33,AW00011094,Cedric,Ma,Cedric Ma,Male,2023-04-07,Cranbourne,Victoria,Australia
11095,13,AW00011095,Chad,Kumar,Chad Kumar,Male,2021-04-01,Port Macquarie,New South Wales,Australia
11096,12,AW00011096,Andrés,Anand,Andrés Anand,Male,2021-04-11,North Sydney,New South Wales,Australia
11097,40,AW00011097,Edwin,Nara,Edwin Nara,Male,2021-04-04,Warrnambool,Victoria,Australia
11098,14,AW00011098,Mallory,Rubio,Mallory Rubio,Female,2023-02-11,Rhodes,New South Wales,Australia
11099,13,AW00011099,Adam,Ross,Adam Ross,Male,2021-04-07,Port Macquarie,New South Wales,Australia
11100,28,AW00011100,Latasha,Navarro,Latasha Navarro,Female,2021-04-16,Cloverdale,South Australia,Australia
11101,33,AW00011101,Abby,Sai,Abby Sai,Female,2021-04-29,Cranbourne,Victoria,Australia
11102,18,AW00011102,Julia,Nelson,Julia Nelson,Female,2023-07-16,Sydney,New South Wales,Australia
11103,3,AW00011103,Cassie,Chande,Cassie Chande,Female,2021-04-15,Darlinghurst,New South Wales,Australia
11104,23,AW00011104,Edgar,Sara,Edgar Sara,Male,2021-05-04,Gold Coast,Queensland,Australia
11105,8,AW00011105,Candace,Fernandez,Candace Fernandez,Female,2021-05-14,Matraville,New South Wales,Australia
11106,40,AW00011106,Jessie,Liu,Jessie Liu,Male,2021-05-18,Warrnambool,Victoria,Australia
11107,17,AW00011107,Bianca,Lin,Bianca Lin,Female,2021-05-01,St. Leonards,New South Wales,Australia
11108,13,AW00011108,Kari,Alvarez,Kari Alvarez,Female,2021-05-03,Port Macquarie,New South Wales,Australia
11109,38,AW00011109,Ruben,Kapoor,Ruben Kapoor,Male,2021-05-10,South Melbourne,Victoria,Australia
11110,3,AW00011110,Curtis,Yang,Curtis Yang,Male,2021-05-01,Darlinghurst,New South Wales,Australia
11111,34,AW00011111,Meredith,Gutierrez,Meredith Gutierrez,Female,2021-05-20,Geelong,Victoria,Australia
11112,25,AW00011112,Crystal,Wang,Crystal Wang,Female,2021-05-25,Hervey Bay,Queensland,Australia
11113,30,AW00011113,Micheal,Blanco,Micheal Blanco,Male,2023-02-01,Perth,South Australia,Australia
11114,14,AW00011114,Leslie,Moreno,Leslie Moreno,Female,2023-03-18,Rhodes,New South Wales,Australia
11115,17,AW00011115,Alvin,Cai,Alvin Cai,Male,2023-02-10,St. Leonards,New South Wales,Australia
11116,18,AW00011116,Clinton,Carlson,Clinton Carlson,Male,2023-03-15,Sydney,New South Wales,Australia
11117,8,AW00011117,April,Deng,April Deng,Female,2021-05-06,Matraville,New South Wales,Australia
11118,6,AW00011118,Alvin,Zeng,Alvin Zeng,Male,2023-07-10,Lavender Bay,New South Wales,Australia
11119,13,AW00011119,Evan,James,Evan James,Male,2023-02-03,Port Macquarie,New South Wales,Australia
11120,18,AW00011120,Beth,Jiménez,Beth Jiménez,Female,2021-05-14,Sydney,New South Wales,Australia
11121,10,AW00011121,Orlando,Suarez,Orlando Suarez,Male,2023-06-24,Newcastle,New South Wales,Australia
11122,12,AW00011122,Byron,Vazquez,Byron Vazquez,Male,2023-02-21,North Sydney,New South Wales,Australia
11123,39,AW00011123,Philip,Alvarez,Philip Alvarez,Male,2023-04-17,Sunbury,Victoria,Australia
11124,40,AW00011124,Ross,Jordan,Ross Jordan,Male,2021-05-05,Warrnambool,Victoria,Australia
11125,37,AW00011125,Dana,Navarro,Dana Navarro,Female,2023-01-31,Seaford,Victoria,Australia
11126,11,AW00011126,Shaun,Carson,Shaun Carson,Male,2021-05-28,North Ryde,New South Wales,Australia
11127,361,AW00011127,Jan,Edwards,Jan Edwards,Female,2023-04-10,San Gabriel,California,United States
11128,635,AW00011128,Samantha,Long,Samantha Long,Female,2023-06-19,Renton,Washington,United States
11129,638,AW00011129,Julia,Wright,Julia Wright,Female,2021-08-06,Sedro Woolley,Washington,United States
11130,543,AW00011130,Caroline,Russell,Caroline Russell,Female,2023-12-09,Lebanon,Oregon,United States
11131,50,AW00011131,Amanda,Rivera,Amanda Rivera,Female,2023-10-18,Haney,British Columbia,Canada
11132,51,AW00011132,Melissa,Richardson,Melissa Richardson,Female,2023-04-09,Langford,British Columbia,Canada
11133,542,AW00011133,Angela,Griffin,Angela Griffin,Female,2023-12-30,Lake Oswego,Oregon,United States
11134,30,AW00011134,Larry,Townsend,Larry Townsend,Male,2021-05-03,Perth,South Australia,Australia
11135,302,AW00011135,Marcus,Harris,Marcus Harris,Male,2023-04-18,Burlingame,California,United States
11136,53,AW00011136,Brianna,Morgan,Brianna Morgan,Female,2023-01-03,Metchosin,British Columbia,Canada
11137,641,AW00011137,Jasmine,Taylor,Jasmine Taylor,Female,2023-07-31,Spokane,Washington,United States
11138,325,AW00011138,Lauren,Davis,Lauren Davis,Female,2023-09-19,Glendale,California,United States
11139,28,AW00011139,Tanya,Moreno,Tanya Moreno,Female,2023-09-14,Cloverdale,South Australia,Australia
11140,301,AW00011140,Javier,Alvarez,Javier Alvarez,Male,2023-03-19,Burbank,California,United States
11141,314,AW00011141,Nicole,Ramirez,Nicole Ramirez,Female,2023-05-16,Daly City,California,United States
11142,51,AW00011142,Eduardo,Patterson,Eduardo Patterson,Male,2023-02-13,Langford,British Columbia,Canada
11143,334,AW00011143,Jonathan,Henderson,Jonathan Henderson,Male,2023-06-15,Lakewood,California,United States
11144,607,AW00011144,Edward,Hernandez,Edward Hernandez,Male,2023-01-25,Ballard,Washington,United States
11145,536,AW00011145,Jasmine,Coleman,Jasmine Coleman,Female,2023-01-25,Beaverton,Oregon,United States
11146,8,AW00011146,Karla,Goel,Karla Goel,Female,2023-02-05,Matraville,New South Wales,Australia
11147,40,AW00011147,Ernest,Wu,Ernest Wu,Male,2021-05-13,Warrnambool,Victoria,Australia
11148,22,AW00011148,Ross,Vazquez,Ross Vazquez,Male,2023-03-07,East Brisbane,Queensland,Australia
11149,25,AW00011149,Theodore,Gill,Theodore Gill,Male,2023-06-04,Hervey Bay,Queensland,Australia
11150,39,AW00011150,Russell,Shen,Russell Shen,Male,2023-03-27,Sunbury,Victoria,Australia
11151,18,AW00011151,Melinda,Gill,Melinda Gill,Female,2021-05-15,Sydney,New South Wales,Australia
11152,633,AW00011152,James,Williams,James Williams,Male,2023-01-09,Puyallup,Washington,United States
11153,635,AW00011153,Angela,James,Angela James,Female,2023-03-29,Renton,Washington,United States
11154,553,AW00011154,Megan,Walker,Megan Walker,Female,2023-01-10,Woodburn,Oregon,United States
11155,301,AW00011155,Hunter,Robinson,Hunter Robinson,Male,2023-01-06,Burbank,California,United States
11156,334,AW00011156,Maria,Roberts,Maria Roberts,Female,2023-01-08,Lakewood,California,United States
11157,642,AW00011157,Hannah,Long,Hannah Long,Female,2023-07-24,Tacoma,Washington,United States
11158,361,AW00011158,Jason,Wright,Jason Wright,Male,2023-01-19,San Gabriel,California,United States
11159,385,AW00011159,Brianna,Hughes,Brianna Hughes,Female,2023-09-08,Woodland Hills,California,United States
11160,311,AW00011160,Maurice,Tang,Maurice Tang,Male,2023-02-21,Concord,California,United States
11161,311,AW00011161,Emily,Wood,Emily Wood,Female,2023-06-01,Concord,California,United States
11162,331,AW00011162,Chase,Cox,Chase Cox,Male,2023-02-18,La Jolla,California,United States
11163,372,AW00011163,Gabriel,Wang,Gabriel Wang,Male,2023-05-01,Spring Valley,California,United States
11164,374,AW00011164,Devin,Brooks,Devin Brooks,Male,2023-04-27,Torrance,California,United States
11165,348,AW00011165,Jocelyn,Alexander,Jocelyn Alexander,Female,2023-05-25,Oakland,California,United States
11166,631,AW00011166,Ashley,Martinez,Ashley Martinez,Female,2023-10-14,Olympia,Washington,United States
11167,618,AW00011167,Jasmine,Barnes,Jasmine Barnes,Female,2023-01-07,Issaquah,Washington,United States
11168,348,AW00011168,David,Rodriguez,David Rodriguez,Male,2023-01-15,Oakland,California,United States
11169,312,AW00011169,Bryce,Richardson,Bryce Richardson,Male,2023-05-26,Coronado,California,United States
11170,612,AW00011170,Carol,Howard,Carol Howard,Female,2023-08-26,Burien,Washington,United States
11171,385,AW00011171,Jonathan,Hill,Jonathan Hill,Male,2021-08-20,Woodland Hills,California,United States
11172,626,AW00011172,Gabrielle,Adams,Gabrielle Adams,Female,2023-05-03,Lynnwood,Washington,United States
11173,552,AW00011173,Sarah,Thomas,Sarah Thomas,Female,2023-03-02,W. Linn,Oregon,United States
11174,338,AW00011174,Nicholas,Robinson,Nicholas Robinson,Male,2023-07-13,Los Angeles,California,United States
11175,300,AW00011175,Luis,Wang,Luis Wang,Male,2021-08-28,Beverly Hills,California,United States
11176,50,AW00011176,Mason,Roberts,Mason Roberts,Male,2023-02-02,Haney,British Columbia,Canada
11177,359,AW00011177,Jose,Flores,Jose Flores,Male,2023-03-29,San Diego,California,United States
11178,334,AW00011178,Nathan,Johnson,Nathan Johnson,Male,2023-02-21,Lakewood,California,United States
11179,300,AW00011179,Molly,Rodriguez,Molly Rodriguez,Female,2023-03-12,Beverly Hills,California,United States
11180,307,AW00011180,April,Anand,April Anand,Female,2023-03-17,Chula Vista,California,United States
11181,338,AW00011181,Devin,Martin,Devin Martin,Male,2023-05-07,Los Angeles,California,United States
11182,638,AW00011182,Stephanie,Torres,Stephanie Torres,Female,2023-08-28,Sedro Woolley,Washington,United States
11183,368,AW00011183,Jasmine,Lee,Jasmine Lee,Female,2023-04-30,Santa Cruz,California,United States
11184,311,AW00011184,Meghan,Hernandez,Meghan Hernandez,Female,2023-08-10,Concord,California,United States
11185,53,AW00011185,Ashley,Henderson,Ashley Henderson,Female,2023-02-21,Metchosin,British Columbia,Canada
11186,352,AW00011186,Sarah,Price,Sarah Price,Female,2023-10-18,Palo Alto,California,United States
11187,612,AW00011187,Jennifer,Cooper,Jennifer Cooper,Female,2023-04-03,Burien,Washington,United States
11188,361,AW00011188,Catherine,Morris,Catherine Morris,Female,2023-11-01,San Gabriel,California,United States
11189,609,AW00011189,Lawrence,Blanco,Lawrence Blanco,Male,2021-08-26,Bellingham,Washington,United States
11190,300,AW00011190,Carson,Bryant,Carson Bryant,Male,2023-08-28,Beverly Hills,California,United States
11191,310,AW00011191,Kristi,Perez,Kristi Perez,Female,2021-08-11,Colma,California,United States
11192,637,AW00011192,James,Brown,James Brown,Male,2023-06-23,Seattle,Washington,United States
11193,553,AW00011193,Ian,Gray,Ian Gray,Male,2023-02-25,Woodburn,Oregon,United States
11194,352,AW00011194,Jacqueline,Price,Jacqueline Price,Female,2023-03-13,Palo Alto,California,United States
11195,635,AW00011195,Megan,Henderson,Megan Henderson,Female,2023-04-14,Renton,Washington,United States
11196,536,AW00011196,Alfredo,Romero,Alfredo Romero,Male,2023-03-03,Beaverton,Oregon,United States
11197,637,AW00011197,Andrea,Morris,Andrea Morris,Female,2023-05-02,Seattle,Washington,United States
11198,368,AW00011198,Brooke,Sanders,Brooke Sanders,Female,2023-02-05,Santa Cruz,California,United States
11199,302,AW00011199,Jacqueline,Bennett,Jacqueline Bennett,Female,2023-03-18,Burlingame,California,United States
11200,69,AW00011200,Jason,Griffin,Jason Griffin,Male,2023-02-07,Victoria,British Columbia,Canada
11201,369,AW00011201,Amanda,Foster,Amanda Foster,Female,2023-07-01,Santa Monica,California,United States
11202,334,AW00011202,Alexia,Price,Alexia Price,Female,2023-09-15,Lakewood,California,United States
11203,60,AW00011203,Luis,Diaz,Luis Diaz,Male,2023-02-20,Port Hammond,British Columbia,Canada
11204,536,AW00011204,Destiny,Rivera,Destiny Rivera,Female,2023-08-09,Beaverton,Oregon,United States
11205,612,AW00011205,Abby,Fernandez,Abby Fernandez,Female,2023-07-27,Burien,Washington,United States
11206,626,AW00011206,Blake,Flores,Blake Flores,Male,2023-05-11,Lynnwood,Washington,United States
11207,635,AW00011207,Danielle,Cox,Danielle Cox,Female,2023-01-31,Renton,Washington,United States
11208,325,AW00011208,Maria,Reed,Maria Reed,Female,2023-03-04,Glendale,California,United States
11209,336,AW00011209,Allison,Evans,Allison Evans,Female,2023-03-25,Lincoln Acres,California,United States
11210,383,AW00011210,Edward,Wood,Edward Wood,Male,2023-05-06,West Covina,California,United States
11211,50,AW00011211,Samantha,Russell,Samantha Russell,Female,2023-02-01,Haney,British Columbia,Canada
11212,53,AW00011212,Chloe,Campbell,Chloe Campbell,Female,2023-01-30,Metchosin,British Columbia,Canada
11213,614,AW00011213,Stephanie,Murphy,Stephanie Murphy,Female,2023-03-28,Edmonds,Washington,United States
11214,545,AW00011214,Charles,Miller,Charles Miller,Male,2023-08-14,Milwaukie,Oregon,United States
11215,62,AW00011215,Ana,Perry,Ana Perry,Female,2023-02-15,Royal Oak,British Columbia,Canada
11216,547,AW00011216,Jasmine,Torres,Jasmine Torres,Female,2021-08-15,Portland,Oregon,United States
11217,547,AW00011217,Natalie,Adams,Natalie Adams,Female,2021-08-10,Portland,Oregon,United States
11218,642,AW00011218,Olivia,Brown,Olivia Brown,Female,2023-02-28,Tacoma,Washington,United States
11219,553,AW00011219,Charles,Cook,Charles Cook,Male,2023-10-29,Woodburn,Oregon,United States
11220,310,AW00011220,Erica,Huang,Erica Huang,Female,2023-03-14,Colma,California,United States
11221,334,AW00011221,Nathan,Perry,Nathan Perry,Male,2023-04-07,Lakewood,California,United States
11222,369,AW00011222,Alexandra,Rivera,Alexandra Rivera,Female,2023-11-01,Santa Monica,California,United States
11223,52,AW00011223,Hailey,Patterson,Hailey Patterson,Female,2023-01-29,Langley,British Columbia,Canada
11224,612,AW00011224,Tiffany,Li,Tiffany Li,Female,2021-08-07,Burien,Washington,United States
11225,635,AW00011225,Madison,Lee,Madison Lee,Female,2023-06-22,Renton,Washington,United States
11226,552,AW00011226,Sydney,Ross,Sydney Ross,Female,2023-02-21,W. Linn,Oregon,United States
11227,310,AW00011227,Marshall,Chavez,Marshall Chavez,Male,2021-08-03,Colma,California,United States
11228,316,AW00011228,Ashley,Jones,Ashley Jones,Female,2023-10-25,El Cajon,California,United States
11229,355,AW00011229,Adrian,Stewart,Adrian Stewart,Male,2023-07-27,Redwood City,California,United States
11230,369,AW00011230,Amber,Turner,Amber Turner,Female,2023-07-16,Santa Monica,California,United States
11231,611,AW00011231,Dennis,Zhang,Dennis Zhang,Male,2023-02-10,Bremerton,Washington,United States
11232,616,AW00011232,Hailey,Bryant,Hailey Bryant,Female,2023-09-20,Everett,Washington,United States
11233,299,AW00011233,Todd,Li,Todd Li,Male,2023-02-08,Berkeley,California,United States
11234,337,AW00011234,Anna,Griffin,Anna Griffin,Female,2023-02-08,Long Beach,California,United States
11235,607,AW00011235,Angel,Stewart,Angel Stewart,Male,2023-07-04,Ballard,Washington,United States
11236,609,AW00011236,Jeremy,Butler,Jeremy Butler,Male,2023-10-03,Bellingham,Washington,United States
11237,161,AW00011237,Clarence,Anand,Clarence Anand,Male,2021-09-05,Solingen,Nordrhein-Westfalen,Germany
11238,232,AW00011238,Mayra,Prasad,Mayra Prasad,Female,2021-01-06,Birmingham,England,United Kingdom
11239,249,AW00011239,Latoya,Goel,Latoya Goel,Female,2021-01-19,London,England,United Kingdom
11240,273,AW00011240,Anne,Hernandez,Anne Hernandez,Female,2021-02-27,Watford,England,United Kingdom
11241,211,AW00011241,Lisa,Cai,Lisa Cai,Female,2022-09-10,Les Ulis,Essonne,France
11242,209,AW00011242,Larry,Munoz,Larry Munoz,Male,2022-09-19,Versailles,Yveline,France
11243,237,AW00011243,Robin,Alvarez,Robin Alvarez,Female,2021-02-21,Esher-Molesey,England,United Kingdom
11244,267,AW00011244,Alexis,Coleman,Alexis Coleman,Female,2021-02-12,Runcorn,England,United Kingdom
11245,132,AW00011245,Ricky,Vazquez,Ricky Vazquez,Male,2021-09-26,Hamburg,Hessen,Germany
11246,147,AW00011246,Latasha,Rubio,Latasha Rubio,Female,2021-10-03,Hamburg,Hamburg,Germany
11247,242,AW00011247,Claudia,Zhou,Claudia Zhou,Female,2021-02-18,Lancaster,England,United Kingdom
11248,223,AW00011248,Tristan,Alexander,Tristan Alexander,Male,2023-07-14,Saint-Denis,Seine Saint Denis,France
11249,178,AW00011249,Cindy,Patel,Cindy Patel,Female,2021-10-09,Sulzbach Taunus,Saarland,Germany
11250,276,AW00011250,Shannon,Liu,Shannon Liu,Female,2021-03-17,Woolston,England,United Kingdom
11251,50,AW00011251,Xavier,Long,Xavier Long,Male,2023-10-18,Haney,British Columbia,Canada
11252,335,AW00011252,Nicholas,Thompson,Nicholas Thompson,Male,2021-08-14,Lemon Grove,California,United States
11253,69,AW00011253,José,Hernandez,José Hernandez,Male,2023-03-01,Victoria,British Columbia,Canada
11254,612,AW00011254,Johnathan,Vance,Johnathan Vance,Male,2023-11-23,Burien,Washington,United States
11255,612,AW00011255,Colin,Lin,Colin Lin,Male,2023-02-23,Burien,Washington,United States
11256,626,AW00011256,Katelyn,Hernandez,Katelyn Hernandez,Female,2023-04-15,Lynnwood,Washington,United States
11257,345,AW00011257,Jacqueline,Powell,Jacqueline Powell,Female,2021-08-24,Newport Beach,California,United States
11258,352,AW00011258,Xavier,Hill,Xavier Hill,Male,2023-05-21,Palo Alto,California,United States
11259,548,AW00011259,Victoria,Stewart,Victoria Stewart,Female,2021-09-04,Salem,Oregon,United States
11260,302,AW00011260,Katelyn,Kelly,Katelyn Kelly,Female,2023-02-05,Burlingame,California,United States
11261,359,AW00011261,Stephanie,Collins,Stephanie Collins,Female,2021-09-27,San Diego,California,United States
11262,60,AW00011262,Jennifer,Simmons,Jennifer Simmons,Female,2023-02-27,Port Hammond,British Columbia,Canada
11263,612,AW00011263,Trinity,Richardson,Trinity Richardson,Female,2021-08-29,Burien,Washington,United States
11264,618,AW00011264,Eduardo,Martin,Eduardo Martin,Male,2023-01-02,Issaquah,Washington,United States
